,0,1
2037,emnknya,memangnya
2038,py,punya
2039,kaka,kakak
2040,unyuu,unyu
2041,dy,dia
2042,bkn,bukan
2043,tp,tapi
2044,kndung,kandung
2045,klo,kalo
2046,mrangkul,merangkul
2047,adlh,adalah
2048,knpa,kenapa
2049,klo,kalo
2050,g,enggak
2051,wlo,walau
2052,bnyak,banyak
2053,yg,yang
2054,sperti,seperti
2055,lh,lah
2056,manusiy,manusia
2057,tx,tak
2058,dr,dari
2059,samara,sakinah mawadah rahman
2060,aamiin,amin
2061,klw,kalau
2062,liat,lihat
2063,teringt,teringat
2064,trmsuk,termasuk
2065,ank,anak
2066,yg,yang
2067,dn,dan
2068,pilihnmu,pilihanmu
2069,swmntara,sementara
2070,trmasuk,termasuk
2071,gak,enggak
2072,dlm,dalam
2073,orang2,orang-orang
2074,yg,yang
2075,sgt,sangat
2076,liht,lihat
2077,aj,saja
2078,y,ya
2079,klo,kalo
2080,suaminy,suaminya
2081,skrg,sekarang
2082,msh,masih
2083,kn,kan
2084,sm,sama
2085,jadulnya,jaman dulunya
2086,mantaff,mantap
2087,klo,kalo
2088,yg,yang
2089,ngata2in,mengata-ngatai
2090,g,enggak
2091,jgn,jangan
2092,bagaimna,bagaimana
2093,tpi,tapi
2094,mulusssss,mulus
2095,bgus,bagus
2096,bkn,bukan
2097,gmana,bagaimana
2098,kpleset,kepleset
2099,yawlah,ya allah
2100,bgt,banget
2101,ntr,entar
2102,lgsg,langsung
2103,kepeleset,kepleset
2104,engga,enggak
2105,kayanye,kayanya
2106,amiinnnn,amin
2107,klo,kalo
2108,gn,begini
2109,ngakak,mengakak
2110,komen2an,komen-komenan
2111,wewww,wow
2112,dumsss,dong
2113,tar,entar
2114,keq,kayak
2115,gini,begini
2116,amiin,amin
2117,perbaikin,memperbaiki
2118,trus,terus
2119,permasalhkan,permasalahkan
2120,bener2,benar-benar
2121,ga,enggak
2122,ngomong,mengomong
2123,betul2,betul-betul
2124,jauhin,jauhi
2125,dateng,datang
2126,ngomong,mengomong
2127,adiik,adik
2128,manisss,manis
2129,ngerti,mengerti
2130,"besar""",besar-besar
2131,"masing""",masing-masing
2132,aja,saja
2133,"masing""",masing-masing
2134,yaaa,ya
2135,nyoba,mencoba
2136,wihh,wih
2137,beneran,benaran
2138,yg,yang
2139,ddlm,di dalam
2140,smua,semua
2141,kmbali,kembali
2142,pd,pada
2143,d,di
2144,kmu,kamu
2145,gk,enggak
2146,kmu,kamu
2147,gk,enggak
2148,dkuburnya,dikuburnya
2149,fi,di
2150,indo,indonesia
2151,sm,sama
2152,ttg,tentang
2153,masing2,masing-masing
2154,kyk,kayak
2155,kl,kalo
